行政區,路名,段、號及其他註明,經度,緯度,備註
中山區,北安路,643號前,121.5491667,25.08388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,524號對面,121.5469444,25.08,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,522號對面,121.5463889,25.08,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,85號(碧海山莊前),121.5302778,25.07805556,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,47號(美僑協會),121.5286111,25.07777778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,85號對面,121.53,25.07805556,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,387號對面(空軍司令部),121.5402778,25.07944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,420號大直高中,121.5427778,25.07944444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,劍南路捷運站,121.555,25.08472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,內湖路,一段1巷2號對面,121.5583333,25.08444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,807號前(國防示範樂隊),121.555,25.085,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,敬業三路,劍南捷運站(3號出口前),121.5561111,25.08416667,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,劍南路,067號路燈桿觀景亭旁,121.5569444,25.08777778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,樂群三路,美麗華對面（家樂福旁之停車場側）,121.5566667,25.08277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,敬業四路,美麗華對面（停車場側）,121.5586111,25.08305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,敬業三路,121號愛買前,121.5561111,25.08166667,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,新生北路,二段28巷口,121.5275,25.05444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,新生北路,二段林森公園站牌前,121.5441667,25.05444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段86號(對面),121.5266667,25.05361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段公車專用道(單號邊),121.5255556,25.05222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,14號公園西側,121.5269444,25.055,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,欣欣百貨,121.5272222,25.05416667,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,15號公園東側,121.5272222,25.05444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段林森北路口,121.5261111,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段公車專用道(雙號邊),121.5261111,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段31巷口,121.5255556,25.05222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段1號,121.5255556,25.0525,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段27號,121.5216667,25.05222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段45號,121.5216667,25.05333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段長春路口,121.5225,25.05555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段65號,121.5222222,25.05694444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段48號,121.5225,25.05638889,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段34號,121.5225,25.05444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,二段18號,121.5225,25.05388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,一段152號,121.5227778,25.0525,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,中山北路,一段130號,121.5222222,25.05194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段6號,121.5225,25.05388889,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段16號,121.5227778,25.0525,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,長安東路,一段29號,121.5277778,25.05277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,62號,121.5236111,25.0475,嚴禁投入家用垃圾，違者重罰新台幣6000元
