行政區,路名,段、號及其他註明,經度,緯度,備註
信義區,忠孝東路,4段光復南路口,121.5610667,25.04122222,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路4段,巨蛋2號門前 ,121.5615306,25.04143889,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路4段,聯合報公車站前 ,121.5625861,25.04141944,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段國館第2停車場右惻,121.5578417,25.04149444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段國館第2停車場左惻,121.5609028,25.04111667,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段與逸仙路口,121.5611472,25.04103333,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段508號公車站前 ,121.5618583,25.04131667,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段捷運市府站3號出口1,121.566975,25.04102222,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段捷運市府站3號出口2,121.5675556,25.04082222,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松高路,寒舍艾美酒店,121.5672222,25.03914444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段光復南路口1  ,121.5572278,25.03784444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段光復南路口2 ,121.5573861,25.03780833,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館大門左側,121.5575722,25.03781111,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館大門前,121.5605167,25.03803056,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館逸仙路口-2,121.5607833,25.03775833,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館逸仙路口-1,121.5613306,25.03744167,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段市議會前逸仙路口,121.5609583,25.03769444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段市議會與市府廣場前,121.5614111,25.03740556,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館光復南路口公車亭前   ,121.5572111,25.03783333,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館前國館公車亭前,121.5607278,25.03769722,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段500號公車亭前,121.56075,25.03749167,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段518號,121.5611667,25.03534444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段488號 ,121.5597583,25.03838889,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,市府南門,121.5643778,25.03615,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,新光三越A9館前,121.5661583,25.03598611,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,世貿三館花旗銀行提款機前,121.5643306,25.0362,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,華納威秀手機門市前,121.5670417,25.03601667,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松廉路,信義廣場地下停車場入口旁,121.5655167,25.03375,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松廉路,76號郵局旁,121.5671472,25.03441111,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,基隆路口,121.5600778,25.03318056,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,莊敬路口,121.5614722,25.03298333,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,信義廣場旁,121.5656278,25.03316389,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,信義區公所旁,121.5672167,25.03304444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,光復南路口公車亭旁,121.558275,25.03248611,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,巨蛋工地公車站(捷運國館站)旁,121.5578778,25.04144722,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,光復國小-1 ,121.5576972,25.04131667,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,光復國小-2 ,121.5576889,25.04043056,嚴禁投入家用垃圾，違者重罰新台幣6000元
